id,fips,date,newcase,newdeath
1,1073,1/22/2020,,
2,1073,1/23/2020,0,0
3,1073,1/24/2020,0,0
4,1073,1/25/2020,0,0
5,1073,1/26/2020,0,0
6,1073,1/27/2020,0,0
7,1073,1/28/2020,0,0
8,1073,1/29/2020,0,0
9,1073,1/30/2020,0,0
10,1073,1/31/2020,0,0
11,1073,2/1/2020,0,0
12,1073,2/2/2020,0,0
13,1073,2/3/2020,0,0
14,1073,2/4/2020,0,0
15,1073,2/5/2020,0,0
16,1073,2/6/2020,0,0
17,1073,2/7/2020,0,0
18,1073,2/8/2020,0,0
19,1073,2/9/2020,0,0
20,1073,2/10/2020,0,0
21,1073,2/11/2020,0,0
22,1073,2/12/2020,0,0
23,1073,2/13/2020,0,0
24,1073,2/14/2020,0,0
25,1073,2/15/2020,0,0
26,1073,2/16/2020,0,0
27,1073,2/17/2020,0,0
28,1073,2/18/2020,0,0
29,1073,2/19/2020,0,0
30,1073,2/20/2020,0,0
31,1073,2/21/2020,0,0
32,1073,2/22/2020,0,0
33,1073,2/23/2020,0,0
34,1073,2/24/2020,0,0
35,1073,2/25/2020,0,0
36,1073,2/26/2020,0,0
37,1073,2/27/2020,0,0
38,1073,2/28/2020,0,0
39,1073,2/29/2020,0,0
40,1073,3/1/2020,0,0
41,1073,3/2/2020,0,0
42,1073,3/3/2020,0,0
43,1073,3/4/2020,0,0
44,1073,3/5/2020,0,0
45,1073,3/6/2020,0,0
46,1073,3/7/2020,0,0
47,1073,3/8/2020,0,0
48,1073,3/9/2020,0,0
49,1073,3/10/2020,0,0
50,1073,3/11/2020,0,0
51,1073,3/12/2020,0,0
52,1073,3/13/2020,1,0
53,1073,3/14/2020,4,0
54,1073,3/15/2020,7,0
55,1073,3/16/2020,5,0
56,1073,3/17/2020,4,0
57,1073,3/18/2020,4,0
58,1073,3/19/2020,9,0
59,1073,3/20/2020,16,0
60,1073,3/21/2020,11,0
61,1073,3/22/2020,10,0
62,1073,3/23/2020,15,0
63,1073,3/24/2020,5,0
64,1073,3/25/2020,38,0
65,1073,3/26/2020,40,0
66,1073,3/27/2020,10,0
67,1073,3/28/2020,35,0
68,1073,3/29/2020,32,0
69,1073,3/30/2020,11,0
70,1073,3/31/2020,25,0
71,1073,4/1/2020,23,0
72,1073,4/2/2020,27,0
73,1073,4/3/2020,37,0
74,1073,4/4/2020,7,0
75,1073,4/5/2020,42,4
76,1073,4/6/2020,20,1
77,1073,4/7/2020,23,0
78,1073,4/8/2020,31,1
79,1073,4/9/2020,31,0
80,1073,4/10/2020,32,2
81,1073,4/11/2020,24,0
82,1073,4/12/2020,18,0
83,1073,4/13/2020,20,0
84,1073,4/14/2020,3,2
85,1073,4/15/2020,8,1
86,1073,4/16/2020,6,3
87,1073,4/17/2020,11,0
88,1073,4/18/2020,28,1
89,1073,4/19/2020,9,0
90,1073,4/20/2020,6,0
91,1073,4/21/2020,12,1
92,1073,4/22/2020,44,14
93,1073,4/23/2020,34,1
94,1073,4/24/2020,19,2
95,1073,4/25/2020,31,0
96,1073,4/26/2020,11,0
97,1073,4/27/2020,0,3
98,1073,4/28/2020,22,5
99,1073,4/29/2020,20,3
100,1073,4/30/2020,5,2
101,1073,5/1/2020,43,2
102,1073,5/2/2020,17,0
103,1073,5/3/2020,23,0
104,1073,5/4/2020,23,0
105,1073,5/5/2020,28,1
106,1073,5/6/2020,28,4
107,1073,5/7/2020,17,4
108,1073,5/8/2020,29,2
109,1073,5/9/2020,15,1
110,1073,5/10/2020,12,0
111,1073,5/11/2020,10,1
112,1073,5/12/2020,26,3
113,1073,5/13/2020,42,0
114,1073,5/14/2020,38,5
115,1073,5/15/2020,37,4
116,1073,5/16/2020,25,0
117,1073,5/17/2020,34,1
118,1073,5/18/2020,22,0
119,1073,5/19/2020,12,4
120,1073,5/20/2020,66,5
121,1073,5/21/2020,36,2
122,1073,5/22/2020,29,3
123,1073,5/23/2020,78,0
124,1073,5/24/2020,38,0
125,1073,5/25/2020,16,3
126,1073,5/26/2020,15,5
127,1073,5/27/2020,28,1
128,1073,5/28/2020,42,5
129,1073,5/29/2020,29,0
130,1073,5/30/2020,36,0
131,1073,5/31/2020,46,0
132,1073,6/1/2020,33,1
133,1073,6/2/2020,17,0
134,1073,6/3/2020,8,0
135,1073,6/4/2020,17,1
136,1073,6/5/2020,26,1
137,1073,6/6/2020,53,0
138,1073,6/7/2020,59,1
139,1073,6/8/2020,39,3
140,1081,1/22/2020,,
141,1081,1/23/2020,0,0
142,1081,1/24/2020,0,0
143,1081,1/25/2020,0,0
144,1081,1/26/2020,0,0
145,1081,1/27/2020,0,0
146,1081,1/28/2020,0,0
147,1081,1/29/2020,0,0
148,1081,1/30/2020,0,0
149,1081,1/31/2020,0,0
150,1081,2/1/2020,0,0
151,1081,2/2/2020,0,0
152,1081,2/3/2020,0,0
153,1081,2/4/2020,0,0
154,1081,2/5/2020,0,0
155,1081,2/6/2020,0,0
156,1081,2/7/2020,0,0
157,1081,2/8/2020,0,0
158,1081,2/9/2020,0,0
159,1081,2/10/2020,0,0
160,1081,2/11/2020,0,0
161,1081,2/12/2020,0,0
162,1081,2/13/2020,0,0
163,1081,2/14/2020,0,0
164,1081,2/15/2020,0,0
165,1081,2/16/2020,0,0
166,1081,2/17/2020,0,0
167,1081,2/18/2020,0,0
168,1081,2/19/2020,0,0
169,1081,2/20/2020,0,0
170,1081,2/21/2020,0,0
171,1081,2/22/2020,0,0
172,1081,2/23/2020,0,0
173,1081,2/24/2020,0,0
174,1081,2/25/2020,0,0
175,1081,2/26/2020,0,0
176,1081,2/27/2020,0,0
177,1081,2/28/2020,0,0
178,1081,2/29/2020,0,0
179,1081,3/1/2020,0,0
180,1081,3/2/2020,0,0
181,1081,3/3/2020,0,0
182,1081,3/4/2020,0,0
183,1081,3/5/2020,0,0
184,1081,3/6/2020,0,0
185,1081,3/7/2020,0,0
186,1081,3/8/2020,0,0
187,1081,3/9/2020,0,0
188,1081,3/10/2020,0,0
189,1081,3/11/2020,0,0
190,1081,3/12/2020,0,0
191,1081,3/13/2020,0,0
192,1081,3/14/2020,0,0
193,1081,3/15/2020,1,0
194,1081,3/16/2020,0,0
195,1081,3/17/2020,2,0
196,1081,3/18/2020,5,0
197,1081,3/19/2020,2,0
198,1081,3/20/2020,1,0
199,1081,3/21/2020,1,0
200,1081,3/22/2020,4,0
201,1081,3/23/2020,3,0
202,1081,3/24/2020,7,0
203,1081,3/25/2020,14,0
204,1081,3/26/2020,7,0
205,1081,3/27/2020,6,0
206,1081,3/28/2020,3,0
207,1081,3/29/2020,1,0
208,1081,3/30/2020,17,0
209,1081,3/31/2020,1,2
210,1081,4/1/2020,8,0
211,1081,4/2/2020,8,0
212,1081,4/3/2020,8,0
213,1081,4/4/2020,5,0
214,1081,4/5/2020,6,0
215,1081,4/6/2020,8,0
216,1081,4/7/2020,15,0
217,1081,4/8/2020,57,2
218,1081,4/9/2020,16,0
219,1081,4/10/2020,9,1
220,1081,4/11/2020,6,1
221,1081,4/12/2020,15,0
222,1081,4/13/2020,14,0
223,1081,4/14/2020,15,2
224,1081,4/15/2020,20,0
225,1081,4/16/2020,9,0
226,1081,4/17/2020,6,2
227,1081,4/18/2020,6,1
228,1081,4/19/2020,2,0
229,1081,4/20/2020,3,0
230,1081,4/21/2020,8,3
231,1081,4/22/2020,12,2
232,1081,4/23/2020,9,4
233,1081,4/24/2020,11,2
234,1081,4/25/2020,7,1
235,1081,4/26/2020,7,1
236,1081,4/27/2020,3,0
237,1081,4/28/2020,9,1
238,1081,4/29/2020,9,3
239,1081,4/30/2020,5,0
240,1081,5/1/2020,0,0
241,1081,5/2/2020,6,0
242,1081,5/3/2020,3,0
243,1081,5/4/2020,3,0
244,1081,5/5/2020,5,0
245,1081,5/6/2020,2,1
246,1081,5/7/2020,7,1
247,1081,5/8/2020,2,0
248,1081,5/9/2020,3,0
249,1081,5/10/2020,3,0
250,1081,5/11/2020,4,0
251,1081,5/12/2020,3,0
252,1081,5/13/2020,4,0
253,1081,5/14/2020,8,0
254,1081,5/15/2020,0,1
255,1081,5/16/2020,4,0
256,1081,5/17/2020,1,0
257,1081,5/18/2020,1,0
258,1081,5/19/2020,0,0
259,1081,5/20/2020,11,1
260,1081,5/21/2020,6,0
261,1081,5/22/2020,4,0
262,1081,5/23/2020,17,0
263,1081,5/24/2020,11,0
264,1081,5/25/2020,13,0
265,1081,5/26/2020,10,0
266,1081,5/27/2020,4,0
267,1081,5/28/2020,7,0
268,1081,5/29/2020,3,0
269,1081,5/30/2020,4,1
270,1081,5/31/2020,7,0
271,1081,6/1/2020,3,0
272,1081,6/2/2020,2,1
273,1081,6/3/2020,6,0
274,1081,6/4/2020,4,0
275,1081,6/5/2020,1,0
276,1081,6/6/2020,14,0
277,1081,6/7/2020,7,0
278,1081,6/8/2020,10,0
279,1097,1/22/2020,,
280,1097,1/23/2020,0,0
281,1097,1/24/2020,0,0
282,1097,1/25/2020,0,0
283,1097,1/26/2020,0,0
284,1097,1/27/2020,0,0
285,1097,1/28/2020,0,0
286,1097,1/29/2020,0,0
287,1097,1/30/2020,0,0
288,1097,1/31/2020,0,0
289,1097,2/1/2020,0,0
290,1097,2/2/2020,0,0
291,1097,2/3/2020,0,0
292,1097,2/4/2020,0,0
293,1097,2/5/2020,0,0
294,1097,2/6/2020,0,0
295,1097,2/7/2020,0,0
296,1097,2/8/2020,0,0
297,1097,2/9/2020,0,0
298,1097,2/10/2020,0,0
299,1097,2/11/2020,0,0
300,1097,2/12/2020,0,0
301,1097,2/13/2020,0,0
302,1097,2/14/2020,0,0
303,1097,2/15/2020,0,0
304,1097,2/16/2020,0,0
305,1097,2/17/2020,0,0
306,1097,2/18/2020,0,0
307,1097,2/19/2020,0,0
308,1097,2/20/2020,0,0
309,1097,2/21/2020,0,0
310,1097,2/22/2020,0,0
311,1097,2/23/2020,0,0
312,1097,2/24/2020,0,0
313,1097,2/25/2020,0,0
314,1097,2/26/2020,0,0
315,1097,2/27/2020,0,0
316,1097,2/28/2020,0,0
317,1097,2/29/2020,0,0
318,1097,3/1/2020,0,0
319,1097,3/2/2020,0,0
320,1097,3/3/2020,0,0
321,1097,3/4/2020,0,0
322,1097,3/5/2020,0,0
323,1097,3/6/2020,0,0
324,1097,3/7/2020,0,0
325,1097,3/8/2020,0,0
326,1097,3/9/2020,0,0
327,1097,3/10/2020,0,0
328,1097,3/11/2020,0,0
329,1097,3/12/2020,0,0
330,1097,3/13/2020,0,0
331,1097,3/14/2020,0,0
332,1097,3/15/2020,0,0
333,1097,3/16/2020,0,0
334,1097,3/17/2020,0,0
335,1097,3/18/2020,0,0
336,1097,3/19/2020,1,0
337,1097,3/20/2020,1,0
338,1097,3/21/2020,0,0
339,1097,3/22/2020,0,0
340,1097,3/23/2020,0,0
341,1097,3/24/2020,4,0
342,1097,3/25/2020,4,0
343,1097,3/26/2020,9,0
344,1097,3/27/2020,4,0
345,1097,3/28/2020,11,0
346,1097,3/29/2020,7,0
347,1097,3/30/2020,4,1
348,1097,3/31/2020,8,0
349,1097,4/1/2020,4,1
350,1097,4/2/2020,12,1
351,1097,4/3/2020,34,1
352,1097,4/4/2020,11,1
353,1097,4/5/2020,13,0
354,1097,4/6/2020,21,0
355,1097,4/7/2020,54,1
356,1097,4/8/2020,47,1
357,1097,4/9/2020,80,0
358,1097,4/10/2020,53,2
359,1097,4/11/2020,47,0
360,1097,4/12/2020,25,0
361,1097,4/13/2020,37,0
362,1097,4/14/2020,18,3
363,1097,4/15/2020,52,0
364,1097,4/16/2020,33,0
365,1097,4/17/2020,33,4
366,1097,4/18/2020,11,2
367,1097,4/19/2020,25,0
368,1097,4/20/2020,17,0
369,1097,4/21/2020,41,10
370,1097,4/22/2020,38,5
371,1097,4/23/2020,51,5
372,1097,4/24/2020,35,2
373,1097,4/25/2020,43,0
374,1097,4/26/2020,29,1
375,1097,4/27/2020,25,2
376,1097,4/28/2020,52,3
377,1097,4/29/2020,47,7
378,1097,4/30/2020,16,2
379,1097,5/1/2020,42,6
380,1097,5/2/2020,73,0
381,1097,5/3/2020,26,1
382,1097,5/4/2020,24,4
383,1097,5/5/2020,43,5
384,1097,5/6/2020,46,5
385,1097,5/7/2020,44,2
386,1097,5/8/2020,52,3
387,1097,5/9/2020,45,2
388,1097,5/10/2020,9,2
389,1097,5/11/2020,13,5
390,1097,5/12/2020,33,5
391,1097,5/13/2020,38,1
392,1097,5/14/2020,63,2
393,1097,5/15/2020,46,2
394,1097,5/16/2020,27,0
395,1097,5/17/2020,20,1
396,1097,5/18/2020,34,0
397,1097,5/19/2020,16,2
398,1097,5/20/2020,71,3
399,1097,5/21/2020,52,1
400,1097,5/22/2020,42,0
401,1097,5/23/2020,67,2
402,1097,5/24/2020,28,2
403,1097,5/25/2020,22,0
404,1097,5/26/2020,21,1
405,1097,5/27/2020,31,0
406,1097,5/28/2020,48,2
407,1097,5/29/2020,29,0
408,1097,5/30/2020,29,1
409,1097,5/31/2020,47,1
410,1097,6/1/2020,33,2
411,1097,6/2/2020,8,0
412,1097,6/3/2020,5,0
413,1097,6/4/2020,37,0
414,1097,6/5/2020,20,5
415,1097,6/6/2020,36,1
416,1097,6/7/2020,56,0
417,1097,6/8/2020,28,0
418,1101,1/22/2020,,
419,1101,1/23/2020,0,0
420,1101,1/24/2020,0,0
421,1101,1/25/2020,0,0
422,1101,1/26/2020,0,0
423,1101,1/27/2020,0,0
424,1101,1/28/2020,0,0
425,1101,1/29/2020,0,0
426,1101,1/30/2020,0,0
427,1101,1/31/2020,0,0
428,1101,2/1/2020,0,0
429,1101,2/2/2020,0,0
430,1101,2/3/2020,0,0
431,1101,2/4/2020,0,0
432,1101,2/5/2020,0,0
433,1101,2/6/2020,0,0
434,1101,2/7/2020,0,0
435,1101,2/8/2020,0,0
436,1101,2/9/2020,0,0
437,1101,2/10/2020,0,0
438,1101,2/11/2020,0,0
439,1101,2/12/2020,0,0
